Ano;Mês;Empresa;CNPJ;Porte da Prestadora;UF;Município;Código IBGE Município;Tecnologia;Acessos
2019;6;OI;05423963000111;Grande Porte;RS;Capitão;4304697;DTH;9
2019;6;OI;05423963000111;Grande Porte;RS;Santa Maria do Herval;4316956;DTH;20
2019;6;OI;05423963000111;Grande Porte;RS;Montenegro;4312401;DTH;619
2019;6;OI;05423963000111;Grande Porte;RS;Gravataí;4309209;DTH;2706
2019;6;OI;05423963000111;Grande Porte;MG;Carvalhos;3114808;DTH;134
2019;6;OI;05423963000111;Grande Porte;PA;São Domingos do Araguaia;1507151;DTH;4
2019;6;OI;05423963000111;Grande Porte;MG;Urucânia;3170503;DTH;108
2019;6;OI;05423963000111;Grande Porte;MG;Extrema;3125101;DTH;883
2019;6;OI;05423963000111;Grande Porte;TO;Filadélfia;1707702;DTH;28
2019;6;OI;05423963000111;Grande Porte;PB;Aguiar;2500205;DTH;1
2019;6;OI;05423963000111;Grande Porte;SP;Conchal;3512209;DTH;3
2019;6;OI;05423963000111;Grande Porte;PR;Santa Cruz de Monte Castelo;4123303;DTH;141
2019;6;OI;05423963000111;Grande Porte;RS;Dom Pedro de Alcântara;4306551;DTH;11
